California Natural Gas Residential Consumption
https://www.eia.gov/dnav/ng/hist/n3010ca2m.htm
15:54:37 GMT-0800 (Pacific Standard Time)
Data source: U.S. Energy Information Administration
Month,California Natural Gas Residential Consumption  Million Cubic Feet
Sep 2024,18284
Aug 2024,17526
Jul 2024,18997
Jun 2024,21616
May 2024,27791
Apr 2024,33988
Mar 2024,47226
Feb 2024,53923
Jan 2024,
Dec 2023,49550
Nov 2023,36402
Oct 2023,23354
Sep 2023,18360
Aug 2023,17412
Jul 2023,20443
Jun 2023,24033
May 2023,29110
Apr 2023,36635
Mar 2023,62960
Feb 2023,63278
Jan 2023,74061
Dec 2022,66984
Nov 2022,47923
Oct 2022,21646
Sep 2022,17269
Aug 2022,17087
Jul 2022,19621
Jun 2022,20968
May 2022,26591
Apr 2022,30743
Mar 2022,42647
Feb 2022,53971
Jan 2022,67186
Dec 2021,71687
Nov 2021,34838
Oct 2021,24764
Sep 2021,20886
Aug 2021,18663
Jul 2021,20642
Jun 2021,21873
May 2021,27595
Apr 2021,33330
Mar 2021,54518
Feb 2021,52425
Jan 2021,68090
Dec 2020,67095
Nov 2020,45366
Oct 2020,23004
Sep 2020,18887
Aug 2020,19700
Jul 2020,22434
Jun 2020,22757
May 2020,27600
Apr 2020,37026
Mar 2020,52447
Feb 2020,52381
Jan 2020,69802
Dec 2019,60983
Nov 2019,43975
Oct 2019,25563
Sep 2019,18490
Aug 2019,18498
Jul 2019,21403
Jun 2019,21322
May 2019,30649
Apr 2019,30632
Mar 2019,51706
Feb 2019,74192
Jan 2019,67257
Dec 2018,63275
Nov 2018,38251
Oct 2018,22607
Sep 2018,19154
Aug 2018,15058
Jul 2018,19784
Jun 2018,21806
May 2018,26759
Apr 2018,32039
Mar 2018,53115
Feb 2018,54556
Jan 2018,57512
Dec 2017,62530
Nov 2017,33950
Oct 2017,23670
Sep 2017,17775
Aug 2017,18027
Jul 2017,19094
Jun 2017,20886
May 2017,27253
Apr 2017,29707
Mar 2017,40607
Feb 2017,53979
Jan 2017,83528
Dec 2016,66473
Nov 2016,37485
Oct 2016,22234
Sep 2016,19918
Aug 2016,18613
Jul 2016,19533
Jun 2016,21252
May 2016,24772
Apr 2016,28203
Mar 2016,39795
Feb 2016,43748
Jan 2016,69803
Dec 2015,73056
Nov 2015,44392
Oct 2015,19235
Sep 2015,17032
Aug 2015,17399
Jul 2015,18932
Jun 2015,20889
May 2015,27358
Apr 2015,29622
Mar 2015,32140
Feb 2015,40902
Jan 2015,60216
Dec 2014,57876
Nov 2014,34011
Oct 2014,21140
Sep 2014,18456
Aug 2014,18834
Jul 2014,20299
Jun 2014,21690
May 2014,25224
Apr 2014,30716
Mar 2014,38959
Feb 2014,49235
Jan 2014,61049
Dec 2013,75406
Nov 2013,42264
Oct 2013,28257
Sep 2013,19699
Aug 2013,21214
Jul 2013,20894
Jun 2013,22876
May 2013,26196
Apr 2013,31414
Mar 2013,43465
Feb 2013,64601
Jan 2013,85488
Dec 2012,70162
Nov 2012,41236
Oct 2012,24622
Sep 2012,19607
Aug 2012,20731
Jul 2012,22631
Jun 2012,23707
May 2012,28728
Apr 2012,38572
Mar 2012,55899
Feb 2012,60157
Jan 2012,71879
Dec 2011,81335
Nov 2011,49546
Oct 2011,24758
Sep 2011,22626
Aug 2011,25315
Jul 2011,26695
Jun 2011,27204
May 2011,32739
Apr 2011,34838
Mar 2011,51570
Feb 2011,65457
Jan 2011,70482
Dec 2010,67310
Nov 2010,45455
Oct 2010,27880
Sep 2010,22790
Aug 2010,22085
Jul 2010,23450
Jun 2010,26822
May 2010,33082
Apr 2010,44708
Mar 2010,52024
Feb 2010,58616
Jan 2010,70666
Dec 2009,72575
Nov 2009,37012
Oct 2009,26332
Sep 2009,20461
Aug 2009,20497
Jul 2009,22862
Jun 2009,26638
May 2009,28637
Apr 2009,40905
Mar 2009,53611
Feb 2009,63571
Jan 2009,67619
Dec 2008,66909
Nov 2008,31620
Oct 2008,25162
Sep 2008,20849
Aug 2008,20836
Jul 2008,22623
Jun 2008,24731
May 2008,32935
Apr 2008,38422
Mar 2008,51311
Feb 2008,69136
Jan 2008,84770
Dec 2007,67194
Nov 2007,37115
Oct 2007,27978
Sep 2007,21367
Aug 2007,21550
Jul 2007,23004
Jun 2007,26503
May 2007,32317
Apr 2007,37437
Mar 2007,49689
Feb 2007,62484
Jan 2007,85741
Dec 2006,65663
Nov 2006,37412
Oct 2006,28106
Sep 2006,22020
Aug 2006,20893
Jul 2006,21133
Jun 2006,26417
May 2006,32929
Apr 2006,47329
Mar 2006,68793
Feb 2006,55662
Jan 2006,65421
Dec 2005,59959
Nov 2005,35080
Oct 2005,28502
Sep 2005,23432
Aug 2005,21897
Jul 2005,23745
Jun 2005,28351
May 2005,31785
Apr 2005,40258
Mar 2005,50895
Feb 2005,62924
Jan 2005,76870
Dec 2004,74682
Nov 2004,49852
Oct 2004,30541
Sep 2004,21547
Aug 2004,22446
Jul 2004,24110
Jun 2004,26967
May 2004,28303
Apr 2004,35580
Mar 2004,48651
Feb 2004,68760
Jan 2004,80607
Dec 2003,73760
Nov 2003,43421
Oct 2003,25736
Sep 2003,22084
Aug 2003,22166
Jul 2003,24968
Jun 2003,27704
May 2003,36234
Apr 2003,46472
Mar 2003,51363
Feb 2003,61307
Jan 2003,62742
Dec 2002,65611
Nov 2002,36668
Oct 2002,31451
Sep 2002,23150
Aug 2002,23494
Jul 2002,24891
Jun 2002,26367
May 2002,34646
Apr 2002,43106
Mar 2002,57999
Feb 2002,64122
Jan 2002,79491
Dec 2001,64425
Nov 2001,39037
Oct 2001,29189
Sep 2001,21331
Aug 2001,22473
Jul 2001,24195
Jun 2001,23066
May 2001,30699
Apr 2001,41839
Mar 2001,59144
Feb 2001,71801
Jan 2001,85495
Dec 2000,68470
Nov 2000,52106
Oct 2000,31757
Sep 2000,24496
Aug 2000,22116
Jul 2000,24448
Jun 2000,27625
May 2000,31735
Apr 2000,39046
Mar 2000,62855
Feb 2000,65334
Jan 2000,66741
Dec 1999,65679
Nov 1999,34488
Oct 1999,25265
Sep 1999,24496
Aug 1999,23376
Jul 1999,25727
Jun 1999,32960
May 1999,40605
Apr 1999,62128
Mar 1999,67420
Feb 1999,77994
Jan 1999,88358
Dec 1998,68831
Nov 1998,40200
Oct 1998,26159
Sep 1998,22038
Aug 1998,21625
Jul 1998,25149
Jun 1998,33208
May 1998,38119
Apr 1998,54074
Mar 1998,62009
Feb 1998,76213
Jan 1998,82305
Dec 1997,68486
Nov 1997,39940
Oct 1997,24538
Sep 1997,21448
